path	kind	status	detail
VALIDATION.md	text-doc	PASS	text chars=1494
results\GAMO_example_run.pkl	other	PASS	bytes=341082
requirements.txt	text-doc	PASS	text chars=66
README.md	text-doc	PASS	text chars=3838
CONVERSION_NOTES.md	text-doc	PASS	text chars=5209
LICENSE	text-doc	PASS	text chars=1078
original_matlab\README.md	text-doc	PASS	text chars=1189
original_matlab\GAMO_Example.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
data\iJO1366.mat	mat-data	PASS	loadmat keys=4
data\iAF1260Core.mat	mat-data	PASS	loadmat keys=4
data\heterogeneous_rxn_list_iJO1366.mat	mat-data	PASS	loadmat keys=4
data\heterogeneous_rxn_list_iAF1260Core.mat	mat-data	PASS	loadmat keys=4
data\fluxData_Ishii_2007.xlsx	excel-data	PASS	read_excel rows_sampled=1 cols=4
original_matlab\Additional Files\rev2irr.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\writeRxnRules.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\Additional Files\MiMBl.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\writeLogGeneRules.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\Additional Files\manualFVA.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\translatePop.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\Additional Files\globalSolverVariable.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\transformFitness.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\Additional Files\fd_rev2irr.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\selection.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\Additional Files\createRefFD.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\redTargetSpace.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\Additional Files\addNetworkBranches.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\mutation.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_RobustKnock.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_OptKnock.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_MiMBl.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_gcOpt.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_ATPsc.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\mating.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\initStructLP.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\initializePopulation.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\initializeFitFun.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\geneticAlgorithm.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\GAMO.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\fitFun_MiMBl.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\evalFitness_mem.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\evalFitness_comb.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\evalFitness.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\encode.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\deleteReactions.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\decode.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\compressModel.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\analyzePropProg.m	matlab-source	SKIP	MATLAB source present; runtime not checked (MATLAB required)
