path	kind	status	detail
VALIDATION.md	text-doc	PASS	text chars=1494
LICENSE	text-doc	PASS	text chars=1078
CONVERSION_NOTES.md	text-doc	PASS	text chars=5209
README.md	text-doc	PASS	text chars=3838
file_audit_report.txt	text-doc	PASS	text chars=14280
requirements.txt	text-doc	PASS	text chars=66
results\GAMO_example_run.pkl	other	PASS	bytes=341082
original_matlab\README.md	text-doc	PASS	text chars=1189
original_matlab\GAMO_Example.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
data\iJO1366.mat	mat-data	PASS	loadmat keys=4
data\iAF1260Core.mat	mat-data	PASS	loadmat keys=4
data\heterogeneous_rxn_list_iJO1366.mat	mat-data	PASS	loadmat keys=4
data\heterogeneous_rxn_list_iAF1260Core.mat	mat-data	PASS	loadmat keys=4
data\fluxData_Ishii_2007.xlsx	excel-data	PASS	read_excel rows_sampled=1 cols=4
gamo\__pycache__\__init__.cpython-311.pyc	other	PASS	bytes=291
gamo\__pycache__\api.cpython-311.pyc	other	PASS	bytes=883
gamo\__init__.py	python	PASS	compiled+imported:gamo
original_matlab\GAMO Files\writeRxnRules.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\writeLogGeneRules.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\translatePop.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\transformFitness.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\selection.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\redTargetSpace.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\mutation.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_RobustKnock.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_OptKnock.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_MiMBl.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_gcOpt.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\multiObj_ATPsc.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\mating.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\initStructLP.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\initializePopulation.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\initializeFitFun.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\geneticAlgorithm.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\GAMO.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\fitFun_MiMBl.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\evalFitness_mem.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\evalFitness_comb.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\evalFitness.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\encode.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\deleteReactions.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\decode.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\compressModel.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\analyzePropProg.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\analyzeGAMOresults.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
original_matlab\GAMO Files\adaptMutRate.m	matlab-source	SKIP	source present; runtime not checked (MATLAB required)
examples\__pycache__\GAMO_Example.cpython-311.pyc	other	PASS	bytes=7508
examples\GAMO_Example.py	python	PASS	compiled+cli_help_ok
gamo\additional_files\manualFVA.py	python	PASS	compiled+imported:gamo.additional_files.manualFVA
gamo\additional_files\globalSolverVariable.py	python	PASS	compiled+imported:gamo.additional_files.globalSolverVariable
gamo\additional_files\fd_rev2irr.py	python	PASS	compiled+imported:gamo.additional_files.fd_rev2irr
gamo\additional_files\createRefFD.py	python	PASS	compiled+imported:gamo.additional_files.createRefFD
gamo\additional_files\addNetworkBranches.py	python	PASS	compiled+imported:gamo.additional_files.addNetworkBranches
gamo\additional_files\__pycache__\addNetworkBranches.cpython-311.pyc	other	PASS	bytes=344
gamo\additional_files\__init__.py	python	PASS	compiled+imported:gamo.additional_files
gamo\additional_files\rev2irr.py	python	PASS	compiled+imported:gamo.additional_files.rev2irr
gamo\additional_files\MiMBl.py	python	PASS	compiled+imported:gamo.additional_files.MiMBl
gamo\additional_files\__pycache__\fd_rev2irr.cpython-311.pyc	other	PASS	bytes=305
gamo\additional_files\__pycache__\createRefFD.cpython-311.pyc	other	PASS	bytes=322
